,Oil_Price,Cocoa_Price,Gold_Price,Date
110,67.49,1897.38,678.84,2007-04-21
111,67.49,1897.38,678.84,2007-04-22
112,67.49,1897.38,678.84,2007-04-23
113,67.49,1897.38,678.84,2007-04-24
114,67.49,1897.38,678.84,2007-04-25
115,67.49,1897.38,678.84,2007-04-26
116,67.49,1897.38,678.84,2007-04-27
117,67.49,1897.38,678.84,2007-04-28
118,67.49,1897.38,678.84,2007-04-29
119,67.49,1897.38,678.84,2007-04-30
120,67.92,1910.09,667.59,2007-05-01
121,67.92,1910.09,667.59,2007-05-02
122,67.92,1910.09,667.59,2007-05-03
123,67.92,1910.09,667.59,2007-05-04
124,67.92,1910.09,667.59,2007-05-05
125,67.92,1910.09,667.59,2007-05-06
126,67.92,1910.09,667.59,2007-05-07
127,67.92,1910.09,667.59,2007-05-08
128,67.92,1910.09,667.59,2007-05-09
129,67.92,1910.09,667.59,2007-05-10
130,67.92,1910.09,667.59,2007-05-11
131,67.92,1910.09,667.59,2007-05-12
132,67.92,1910.09,667.59,2007-05-13
133,67.92,1910.09,667.59,2007-05-14
134,67.92,1910.09,667.59,2007-05-15
135,67.92,1910.09,667.59,2007-05-16
136,67.92,1910.09,667.59,2007-05-17
137,67.92,1910.09,667.59,2007-05-18
138,67.92,1910.09,667.59,2007-05-19
139,67.92,1910.09,667.59,2007-05-20
140,67.92,1910.09,667.59,2007-05-21
141,67.92,1910.09,667.59,2007-05-22
142,67.92,1910.09,667.59,2007-05-23
143,67.92,1910.09,667.59,2007-05-24
144,67.92,1910.09,667.59,2007-05-25
145,67.92,1910.09,667.59,2007-05-26
146,67.92,1910.09,667.59,2007-05-27
147,67.92,1910.09,667.59,2007-05-28
148,67.92,1910.09,667.59,2007-05-29
149,67.92,1910.09,667.59,2007-05-30
150,67.92,1910.09,667.59,2007-05-31
151,70.55,1927.67,655.42,2007-06-01
152,70.55,1927.67,655.42,2007-06-02
153,70.55,1927.67,655.42,2007-06-03
154,70.55,1927.67,655.42,2007-06-04
155,70.55,1927.67,655.42,2007-06-05
156,70.55,1927.67,655.42,2007-06-06
157,70.55,1927.67,655.42,2007-06-07
158,70.55,1927.67,655.42,2007-06-08
159,70.55,1927.67,655.42,2007-06-09
160,70.55,1927.67,655.42,2007-06-10
161,70.55,1927.67,655.42,2007-06-11
162,70.55,1927.67,655.42,2007-06-12
163,70.55,1927.67,655.42,2007-06-13
164,70.55,1927.67,655.42,2007-06-14
165,70.55,1927.67,655.42,2007-06-15
166,70.55,1927.67,655.42,2007-06-16
167,70.55,1927.67,655.42,2007-06-17
168,70.55,1927.67,655.42,2007-06-18
169,70.55,1927.67,655.42,2007-06-19
170,70.55,1927.67,655.42,2007-06-20
171,70.55,1927.67,655.42,2007-06-21
172,70.55,1927.67,655.42,2007-06-22
173,70.55,1927.67,655.42,2007-06-23
174,70.55,1927.67,655.42,2007-06-24
175,70.55,1927.67,655.42,2007-06-25
176,70.55,1927.67,655.42,2007-06-26
177,70.55,1927.67,655.42,2007-06-27
178,70.55,1927.67,655.42,2007-06-28
179,70.55,1927.67,655.42,2007-06-29
180,70.55,1927.67,655.42,2007-06-30
181,75.84,2051.64,665.66,2007-07-01
182,75.84,2051.64,665.66,2007-07-02
183,75.84,2051.64,665.66,2007-07-03
184,75.84,2051.64,665.66,2007-07-04
185,75.84,2051.64,665.66,2007-07-05
186,75.84,2051.64,665.66,2007-07-06
187,75.84,2051.64,665.66,2007-07-07
188,75.84,2051.64,665.66,2007-07-08
189,75.84,2051.64,665.66,2007-07-09
190,75.84,2051.64,665.66,2007-07-10
191,75.84,2051.64,665.66,2007-07-11
192,75.84,2051.64,665.66,2007-07-12
193,75.84,2051.64,665.66,2007-07-13
194,75.84,2051.64,665.66,2007-07-14
195,75.84,2051.64,665.66,2007-07-15
196,75.84,2051.64,665.66,2007-07-16
197,75.84,2051.64,665.66,2007-07-17
198,75.84,2051.64,665.66,2007-07-18
199,75.84,2051.64,665.66,2007-07-19
200,75.84,2051.64,665.66,2007-07-20
201,75.84,2051.64,665.66,2007-07-21
202,75.84,2051.64,665.66,2007-07-22
203,75.84,2051.64,665.66,2007-07-23
204,75.84,2051.64,665.66,2007-07-24
205,75.84,2051.64,665.66,2007-07-25
206,75.84,2051.64,665.66,2007-07-26
207,75.84,2051.64,665.66,2007-07-27
208,75.84,2051.64,665.66,2007-07-28
209,75.84,2051.64,665.66,2007-07-29
210,75.84,2051.64,665.66,2007-07-30
211,75.84,2051.64,665.66,2007-07-31
212,71.17,1826.43,665.99,2007-08-01
213,71.17,1826.43,665.99,2007-08-02
214,71.17,1826.43,665.99,2007-08-03
215,71.17,1826.43,665.99,2007-08-04
216,71.17,1826.43,665.99,2007-08-05
217,71.17,1826.43,665.99,2007-08-06
218,71.17,1826.43,665.99,2007-08-07
219,71.17,1826.43,665.99,2007-08-08
220,71.17,1826.43,665.99,2007-08-09
221,71.17,1826.43,665.99,2007-08-10
222,71.17,1826.43,665.99,2007-08-11
223,71.17,1826.43,665.99,2007-08-12
224,71.17,1826.43,665.99,2007-08-13
225,71.17,1826.43,665.99,2007-08-14
226,71.17,1826.43,665.99,2007-08-15
227,71.17,1826.43,665.99,2007-08-16
228,71.17,1826.43,665.99,2007-08-17
229,71.17,1826.43,665.99,2007-08-18
230,71.17,1826.43,665.99,2007-08-19
231,71.17,1826.43,665.99,2007-08-20
232,71.17,1826.43,665.99,2007-08-21
233,71.17,1826.43,665.99,2007-08-22
234,71.17,1826.43,665.99,2007-08-23
235,71.17,1826.43,665.99,2007-08-24
236,71.17,1826.43,665.99,2007-08-25
237,71.17,1826.43,665.99,2007-08-26
238,71.17,1826.43,665.99,2007-08-27
239,71.17,1826.43,665.99,2007-08-28
240,71.17,1826.43,665.99,2007-08-29
241,71.17,1826.43,665.99,2007-08-30
242,71.17,1826.43,665.99,2007-08-31
243,77.0,1895.45,713.55,2007-09-01
244,77.0,1895.45,713.55,2007-09-02
245,77.0,1895.45,713.55,2007-09-03
246,77.0,1895.45,713.55,2007-09-04
247,77.0,1895.45,713.55,2007-09-05
248,77.0,1895.45,713.55,2007-09-06
249,77.0,1895.45,713.55,2007-09-07
250,77.0,1895.45,713.55,2007-09-08
251,77.0,1895.45,713.55,2007-09-09
252,77.0,1895.45,713.55,2007-09-10
253,77.0,1895.45,713.55,2007-09-11
254,77.0,1895.45,713.55,2007-09-12
255,77.0,1895.45,713.55,2007-09-13
256,77.0,1895.45,713.55,2007-09-14
257,77.0,1895.45,713.55,2007-09-15
258,77.0,1895.45,713.55,2007-09-16
259,77.0,1895.45,713.55,2007-09-17
260,77.0,1895.45,713.55,2007-09-18
261,77.0,1895.45,713.55,2007-09-19
262,77.0,1895.45,713.55,2007-09-20
263,77.0,1895.45,713.55,2007-09-21
264,77.0,1895.45,713.55,2007-09-22
265,77.0,1895.45,713.55,2007-09-23
266,77.0,1895.45,713.55,2007-09-24
267,77.0,1895.45,713.55,2007-09-25
268,77.0,1895.45,713.55,2007-09-26
269,77.0,1895.45,713.55,2007-09-27
270,77.0,1895.45,713.55,2007-09-28
271,77.0,1895.45,713.55,2007-09-29
272,77.0,1895.45,713.55,2007-09-30
273,82.47,1878.26,754.58,2007-10-01
274,82.47,1878.26,754.58,2007-10-02
275,82.47,1878.26,754.58,2007-10-03
276,82.47,1878.26,754.58,2007-10-04
277,82.47,1878.26,754.58,2007-10-05
278,82.47,1878.26,754.58,2007-10-06
279,82.47,1878.26,754.58,2007-10-07
280,82.47,1878.26,754.58,2007-10-08
281,82.47,1878.26,754.58,2007-10-09
282,82.47,1878.26,754.58,2007-10-10
283,82.47,1878.26,754.58,2007-10-11
284,82.47,1878.26,754.58,2007-10-12
285,82.47,1878.26,754.58,2007-10-13
286,82.47,1878.26,754.58,2007-10-14
287,82.47,1878.26,754.58,2007-10-15
288,82.47,1878.26,754.58,2007-10-16
289,82.47,1878.26,754.58,2007-10-17
290,82.47,1878.26,754.58,2007-10-18
291,82.47,1878.26,754.58,2007-10-19
292,82.47,1878.26,754.58,2007-10-20
293,82.47,1878.26,754.58,2007-10-21
294,82.47,1878.26,754.58,2007-10-22
295,82.47,1878.26,754.58,2007-10-23
296,82.47,1878.26,754.58,2007-10-24
297,82.47,1878.26,754.58,2007-10-25
298,82.47,1878.26,754.58,2007-10-26
299,82.47,1878.26,754.58,2007-10-27
300,82.47,1878.26,754.58,2007-10-28
301,82.47,1878.26,754.58,2007-10-29
302,82.47,1878.26,754.58,2007-10-30
303,82.47,1878.26,754.58,2007-10-31
304,92.06,1947.23,806.04,2007-11-01
305,92.06,1947.23,806.04,2007-11-02
306,92.06,1947.23,806.04,2007-11-03
307,92.06,1947.23,806.04,2007-11-04
308,92.06,1947.23,806.04,2007-11-05
309,92.06,1947.23,806.04,2007-11-06
310,92.06,1947.23,806.04,2007-11-07
311,92.06,1947.23,806.04,2007-11-08
312,92.06,1947.23,806.04,2007-11-09
313,92.06,1947.23,806.04,2007-11-10
314,92.06,1947.23,806.04,2007-11-11
315,92.06,1947.23,806.04,2007-11-12
316,92.06,1947.23,806.04,2007-11-13
317,92.06,1947.23,806.04,2007-11-14
318,92.06,1947.23,806.04,2007-11-15
319,92.06,1947.23,806.04,2007-11-16
320,92.06,1947.23,806.04,2007-11-17
321,92.06,1947.23,806.04,2007-11-18
322,92.06,1947.23,806.04,2007-11-19
323,92.06,1947.23,806.04,2007-11-20
324,92.06,1947.23,806.04,2007-11-21
325,92.06,1947.23,806.04,2007-11-22
326,92.06,1947.23,806.04,2007-11-23
327,92.06,1947.23,806.04,2007-11-24
328,92.06,1947.23,806.04,2007-11-25
329,92.06,1947.23,806.04,2007-11-26
330,92.06,1947.23,806.04,2007-11-27
331,92.06,1947.23,806.04,2007-11-28
332,92.06,1947.23,806.04,2007-11-29
333,92.06,1947.23,806.04,2007-11-30
334,91.51,2071.9,807.2,2007-12-01
335,91.51,2071.9,807.2,2007-12-02
336,91.51,2071.9,807.2,2007-12-03
337,91.51,2071.9,807.2,2007-12-04
338,91.51,2071.9,807.2,2007-12-05
339,91.51,2071.9,807.2,2007-12-06
340,91.51,2071.9,807.2,2007-12-07
341,91.51,2071.9,807.2,2007-12-08
342,91.51,2071.9,807.2,2007-12-09
343,91.51,2071.9,807.2,2007-12-10
344,91.51,2071.9,807.2,2007-12-11
345,91.51,2071.9,807.2,2007-12-12
346,91.51,2071.9,807.2,2007-12-13
347,91.51,2071.9,807.2,2007-12-14
348,91.51,2071.9,807.2,2007-12-15
349,91.51,2071.9,807.2,2007-12-16
350,91.51,2071.9,807.2,2007-12-17
351,91.51,2071.9,807.2,2007-12-18
352,91.51,2071.9,807.2,2007-12-19
353,91.51,2071.9,807.2,2007-12-20
354,91.51,2071.9,807.2,2007-12-21
355,91.51,2071.9,807.2,2007-12-22
356,91.51,2071.9,807.2,2007-12-23
357,91.51,2071.9,807.2,2007-12-24
358,91.51,2071.9,807.2,2007-12-25
359,91.51,2071.9,807.2,2007-12-26
360,91.51,2071.9,807.2,2007-12-27
361,91.51,2071.9,807.2,2007-12-28
362,91.51,2071.9,807.2,2007-12-29
363,91.51,2071.9,807.2,2007-12-30
364,91.51,2071.9,807.2,2007-12-31
365,91.92,2174.55,890.98,2008-01-01
366,91.92,2174.55,890.98,2008-01-02
367,91.92,2174.55,890.98,2008-01-03
368,91.92,2174.55,890.98,2008-01-04
369,91.92,2174.55,890.98,2008-01-05
370,91.92,2174.55,890.98,2008-01-06
371,91.92,2174.55,890.98,2008-01-07
372,91.92,2174.55,890.98,2008-01-08
373,91.92,2174.55,890.98,2008-01-09
374,91.92,2174.55,890.98,2008-01-10
375,91.92,2174.55,890.98,2008-01-11
376,91.92,2174.55,890.98,2008-01-12
377,91.92,2174.55,890.98,2008-01-13
378,91.92,2174.55,890.98,2008-01-14
379,91.92,2174.55,890.98,2008-01-15
380,91.92,2174.55,890.98,2008-01-16
381,91.92,2174.55,890.98,2008-01-17
382,91.92,2174.55,890.98,2008-01-18
383,91.92,2174.55,890.98,2008-01-19
384,91.92,2174.55,890.98,2008-01-20
385,91.92,2174.55,890.98,2008-01-21
386,91.92,2174.55,890.98,2008-01-22
387,91.92,2174.55,890.98,2008-01-23
388,91.92,2174.55,890.98,2008-01-24
389,91.92,2174.55,890.98,2008-01-25
390,91.92,2174.55,890.98,2008-01-26
391,91.92,2174.55,890.98,2008-01-27
392,91.92,2174.55,890.98,2008-01-28
393,91.92,2174.55,890.98,2008-01-29
394,91.92,2174.55,890.98,2008-01-30
395,91.92,2174.55,890.98,2008-01-31
396,94.49,2501.76,925.03,2008-02-01
397,94.49,2501.76,925.03,2008-02-02
398,94.49,2501.76,925.03,2008-02-03
399,94.49,2501.76,925.03,2008-02-04
400,94.49,2501.76,925.03,2008-02-05
401,94.49,2501.76,925.03,2008-02-06
402,94.49,2501.76,925.03,2008-02-07
403,94.49,2501.76,925.03,2008-02-08
404,94.49,2501.76,925.03,2008-02-09
405,94.49,2501.76,925.03,2008-02-10
406,94.49,2501.76,925.03,2008-02-11
407,94.49,2501.76,925.03,2008-02-12
408,94.49,2501.76,925.03,2008-02-13
409,94.49,2501.76,925.03,2008-02-14
410,94.49,2501.76,925.03,2008-02-15
411,94.49,2501.76,925.03,2008-02-16
412,94.49,2501.76,925.03,2008-02-17
413,94.49,2501.76,925.03,2008-02-18
414,94.49,2501.76,925.03,2008-02-19
415,94.49,2501.76,925.03,2008-02-20
416,94.49,2501.76,925.03,2008-02-21
417,94.49,2501.76,925.03,2008-02-22
418,94.49,2501.76,925.03,2008-02-23
419,94.49,2501.76,925.03,2008-02-24
420,94.49,2501.76,925.03,2008-02-25
421,94.49,2501.76,925.03,2008-02-26
422,94.49,2501.76,925.03,2008-02-27
423,94.49,2501.76,925.03,2008-02-28
424,94.49,2501.76,925.03,2008-02-29
425,102.98,2614.15,965.9,2008-03-01
426,102.98,2614.15,965.9,2008-03-02
427,102.98,2614.15,965.9,2008-03-03
428,102.98,2614.15,965.9,2008-03-04
429,102.98,2614.15,965.9,2008-03-05
430,102.98,2614.15,965.9,2008-03-06
431,102.98,2614.15,965.9,2008-03-07
432,102.98,2614.15,965.9,2008-03-08
433,102.98,2614.15,965.9,2008-03-09
434,102.98,2614.15,965.9,2008-03-10
435,102.98,2614.15,965.9,2008-03-11
436,102.98,2614.15,965.9,2008-03-12
437,102.98,2614.15,965.9,2008-03-13
438,102.98,2614.15,965.9,2008-03-14
439,102.98,2614.15,965.9,2008-03-15
440,102.98,2614.15,965.9,2008-03-16
441,102.98,2614.15,965.9,2008-03-17
442,102.98,2614.15,965.9,2008-03-18
443,102.98,2614.15,965.9,2008-03-19
444,102.98,2614.15,965.9,2008-03-20
445,102.98,2614.15,965.9,2008-03-21
446,102.98,2614.15,965.9,2008-03-22
447,102.98,2614.15,965.9,2008-03-23
448,102.98,2614.15,965.9,2008-03-24
449,102.98,2614.15,965.9,2008-03-25
450,102.98,2614.15,965.9,2008-03-26
451,102.98,2614.15,965.9,2008-03-27
452,102.98,2614.15,965.9,2008-03-28
453,102.98,2614.15,965.9,2008-03-29
454,102.98,2614.15,965.9,2008-03-30
455,102.98,2614.15,965.9,2008-03-31
456,110.43,2567.55,909.76,2008-04-01
457,110.43,2567.55,909.76,2008-04-02
458,110.43,2567.55,909.76,2008-04-03
459,110.43,2567.55,909.76,2008-04-04
460,110.43,2567.55,909.76,2008-04-05
461,110.43,2567.55,909.76,2008-04-06
462,110.43,2567.55,909.76,2008-04-07
463,110.43,2567.55,909.76,2008-04-08
464,110.43,2567.55,909.76,2008-04-09
465,110.43,2567.55,909.76,2008-04-10
466,110.43,2567.55,909.76,2008-04-11
467,110.43,2567.55,909.76,2008-04-12
468,110.43,2567.55,909.76,2008-04-13
469,110.43,2567.55,909.76,2008-04-14
470,110.43,2567.55,909.76,2008-04-15
471,110.43,2567.55,909.76,2008-04-16
472,110.43,2567.55,909.76,2008-04-17
473,110.43,2567.55,909.76,2008-04-18
474,110.43,2567.55,909.76,2008-04-19
475,110.43,2567.55,909.76,2008-04-20
476,110.43,2567.55,909.76,2008-04-21
477,110.43,2567.55,909.76,2008-04-22
478,110.43,2567.55,909.76,2008-04-23
479,110.43,2567.55,909.76,2008-04-24
480,110.43,2567.55,909.76,2008-04-25
481,110.43,2567.55,909.76,2008-04-26
482,110.43,2567.55,909.76,2008-04-27
483,110.43,2567.55,909.76,2008-04-28
484,110.43,2567.55,909.76,2008-04-29
485,110.43,2567.55,909.76,2008-04-30
486,124.61,2647.0,889.92,2008-05-01
487,124.61,2647.0,889.92,2008-05-02
488,124.61,2647.0,889.92,2008-05-03
489,124.61,2647.0,889.92,2008-05-04
490,124.61,2647.0,889.92,2008-05-05
491,124.61,2647.0,889.92,2008-05-06
492,124.61,2647.0,889.92,2008-05-07
493,124.61,2647.0,889.92,2008-05-08
494,124.61,2647.0,889.92,2008-05-09
495,124.61,2647.0,889.92,2008-05-10
496,124.61,2647.0,889.92,2008-05-11
497,124.61,2647.0,889.92,2008-05-12
498,124.61,2647.0,889.92,2008-05-13
499,124.61,2647.0,889.92,2008-05-14
500,124.61,2647.0,889.92,2008-05-15
501,124.61,2647.0,889.92,2008-05-16
502,124.61,2647.0,889.92,2008-05-17
503,124.61,2647.0,889.92,2008-05-18
504,124.61,2647.0,889.92,2008-05-19
505,124.61,2647.0,889.92,2008-05-20
506,124.61,2647.0,889.92,2008-05-21
507,124.61,2647.0,889.92,2008-05-22
508,124.61,2647.0,889.92,2008-05-23
509,124.61,2647.0,889.92,2008-05-24
510,124.61,2647.0,889.92,2008-05-25
511,124.61,2647.0,889.92,2008-05-26
512,124.61,2647.0,889.92,2008-05-27
513,124.61,2647.0,889.92,2008-05-28
514,124.61,2647.0,889.92,2008-05-29
515,124.61,2647.0,889.92,2008-05-30
516,124.61,2647.0,889.92,2008-05-31
517,133.47,3071.24,891.77,2008-06-01
518,133.47,3071.24,891.77,2008-06-02
519,133.47,3071.24,891.77,2008-06-03
520,133.47,3071.24,891.77,2008-06-04
521,133.47,3071.24,891.77,2008-06-05
522,133.47,3071.24,891.77,2008-06-06
523,133.47,3071.24,891.77,2008-06-07
524,133.47,3071.24,891.77,2008-06-08
525,133.47,3071.24,891.77,2008-06-09
526,133.47,3071.24,891.77,2008-06-10
527,133.47,3071.24,891.77,2008-06-11
528,133.47,3071.24,891.77,2008-06-12
529,133.47,3071.24,891.77,2008-06-13
530,133.47,3071.24,891.77,2008-06-14
531,133.47,3071.24,891.77,2008-06-15
532,133.47,3071.24,891.77,2008-06-16
533,133.47,3071.24,891.77,2008-06-17
534,133.47,3071.24,891.77,2008-06-18
535,133.47,3071.24,891.77,2008-06-19
536,133.47,3071.24,891.77,2008-06-20
537,133.47,3071.24,891.77,2008-06-21
538,133.47,3071.24,891.77,2008-06-22
539,133.47,3071.24,891.77,2008-06-23
540,133.47,3071.24,891.77,2008-06-24
541,133.47,3071.24,891.77,2008-06-25
542,133.47,3071.24,891.77,2008-06-26
543,133.47,3071.24,891.77,2008-06-27
544,133.47,3071.24,891.77,2008-06-28
545,133.47,3071.24,891.77,2008-06-29
546,133.47,3071.24,891.77,2008-06-30
547,134.79,2928.52,938.54,2008-07-01
548,134.79,2928.52,938.54,2008-07-02
549,134.79,2928.52,938.54,2008-07-03
550,134.79,2928.52,938.54,2008-07-04
551,134.79,2928.52,938.54,2008-07-05
552,134.79,2928.52,938.54,2008-07-06
553,134.79,2928.52,938.54,2008-07-07
554,134.79,2928.52,938.54,2008-07-08
555,134.79,2928.52,938.54,2008-07-09
556,134.79,2928.52,938.54,2008-07-10
557,134.79,2928.52,938.54,2008-07-11
558,134.79,2928.52,938.54,2008-07-12
559,134.79,2928.52,938.54,2008-07-13
560,134.79,2928.52,938.54,2008-07-14
561,134.79,2928.52,938.54,2008-07-15
562,134.79,2928.52,938.54,2008-07-16
563,134.79,2928.52,938.54,2008-07-17
564,134.79,2928.52,938.54,2008-07-18
565,134.79,2928.52,938.54,2008-07-19
566,134.79,2928.52,938.54,2008-07-20
567,134.79,2928.52,938.54,2008-07-21
568,134.79,2928.52,938.54,2008-07-22
569,134.79,2928.52,938.54,2008-07-23
570,134.79,2928.52,938.54,2008-07-24
571,134.79,2928.52,938.54,2008-07-25
572,134.79,2928.52,938.54,2008-07-26
573,134.79,2928.52,938.54,2008-07-27
574,134.79,2928.52,938.54,2008-07-28
575,134.79,2928.52,938.54,2008-07-29
576,134.79,2928.52,938.54,2008-07-30
577,134.79,2928.52,938.54,2008-07-31
578,115.22,2771.29,835.93,2008-08-01
579,115.22,2771.29,835.93,2008-08-02
580,115.22,2771.29,835.93,2008-08-03
581,115.22,2771.29,835.93,2008-08-04
582,115.22,2771.29,835.93,2008-08-05
583,115.22,2771.29,835.93,2008-08-06
584,115.22,2771.29,835.93,2008-08-07
585,115.22,2771.29,835.93,2008-08-08
586,115.22,2771.29,835.93,2008-08-09
587,115.22,2771.29,835.93,2008-08-10
588,115.22,2771.29,835.93,2008-08-11
589,115.22,2771.29,835.93,2008-08-12
590,115.22,2771.29,835.93,2008-08-13
591,115.22,2771.29,835.93,2008-08-14
592,115.22,2771.29,835.93,2008-08-15
593,115.22,2771.29,835.93,2008-08-16
594,115.22,2771.29,835.93,2008-08-17
595,115.22,2771.29,835.93,2008-08-18
596,115.22,2771.29,835.93,2008-08-19
597,115.22,2771.29,835.93,2008-08-20
598,115.22,2771.29,835.93,2008-08-21
599,115.22,2771.29,835.93,2008-08-22
600,115.22,2771.29,835.93,2008-08-23
601,115.22,2771.29,835.93,2008-08-24
602,115.22,2771.29,835.93,2008-08-25
603,115.22,2771.29,835.93,2008-08-26
604,115.22,2771.29,835.93,2008-08-27
605,115.22,2771.29,835.93,2008-08-28
606,115.22,2771.29,835.93,2008-08-29
607,115.22,2771.29,835.93,2008-08-30
608,115.22,2771.29,835.93,2008-08-31
609,100.75,2645.73,829.22,2008-09-01
610,100.75,2645.73,829.22,2008-09-02
611,100.75,2645.73,829.22,2008-09-03
612,100.75,2645.73,829.22,2008-09-04
613,100.75,2645.73,829.22,2008-09-05
614,100.75,2645.73,829.22,2008-09-06
615,100.75,2645.73,829.22,2008-09-07
616,100.75,2645.73,829.22,2008-09-08
617,100.75,2645.73,829.22,2008-09-09
618,100.75,2645.73,829.22,2008-09-10
619,100.75,2645.73,829.22,2008-09-11
620,100.75,2645.73,829.22,2008-09-12
621,100.75,2645.73,829.22,2008-09-13
622,100.75,2645.73,829.22,2008-09-14
623,100.75,2645.73,829.22,2008-09-15
624,100.75,2645.73,829.22,2008-09-16
625,100.75,2645.73,829.22,2008-09-17
626,100.75,2645.73,829.22,2008-09-18
627,100.75,2645.73,829.22,2008-09-19
628,100.75,2645.73,829.22,2008-09-20
629,100.75,2645.73,829.22,2008-09-21
630,100.75,2645.73,829.22,2008-09-22
631,100.75,2645.73,829.22,2008-09-23
632,100.75,2645.73,829.22,2008-09-24
