,Oil_Price,Cocoa_Price,Gold_Price,Date
180,69.74,1520.86,595.62,2006-06-30
181,74.24,1596.52,633.13,2006-07-01
182,74.24,1596.52,633.13,2006-07-02
183,74.24,1596.52,633.13,2006-07-03
184,74.24,1596.52,633.13,2006-07-04
185,74.24,1596.52,633.13,2006-07-05
186,74.24,1596.52,633.13,2006-07-06
187,74.24,1596.52,633.13,2006-07-07
188,74.24,1596.52,633.13,2006-07-08
189,74.24,1596.52,633.13,2006-07-09
190,74.24,1596.52,633.13,2006-07-10
191,74.24,1596.52,633.13,2006-07-11
192,74.24,1596.52,633.13,2006-07-12
193,74.24,1596.52,633.13,2006-07-13
194,74.24,1596.52,633.13,2006-07-14
195,74.24,1596.52,633.13,2006-07-15
196,74.24,1596.52,633.13,2006-07-16
197,74.24,1596.52,633.13,2006-07-17
198,74.24,1596.52,633.13,2006-07-18
199,74.24,1596.52,633.13,2006-07-19
200,74.24,1596.52,633.13,2006-07-20
201,74.24,1596.52,633.13,2006-07-21
202,74.24,1596.52,633.13,2006-07-22
203,74.24,1596.52,633.13,2006-07-23
204,74.24,1596.52,633.13,2006-07-24
205,74.24,1596.52,633.13,2006-07-25
206,74.24,1596.52,633.13,2006-07-26
207,74.24,1596.52,633.13,2006-07-27
208,74.24,1596.52,633.13,2006-07-28
209,74.24,1596.52,633.13,2006-07-29
210,74.24,1596.52,633.13,2006-07-30
211,74.24,1596.52,633.13,2006-07-31
212,73.87,1495.09,631.03,2006-08-01
213,73.87,1495.09,631.03,2006-08-02
214,73.87,1495.09,631.03,2006-08-03
215,73.87,1495.09,631.03,2006-08-04
216,73.87,1495.09,631.03,2006-08-05
217,73.87,1495.09,631.03,2006-08-06
218,73.87,1495.09,631.03,2006-08-07
219,73.87,1495.09,631.03,2006-08-08
220,73.87,1495.09,631.03,2006-08-09
221,73.87,1495.09,631.03,2006-08-10
222,73.87,1495.09,631.03,2006-08-11
223,73.87,1495.09,631.03,2006-08-12
224,73.87,1495.09,631.03,2006-08-13
225,73.87,1495.09,631.03,2006-08-14
226,73.87,1495.09,631.03,2006-08-15
227,73.87,1495.09,631.03,2006-08-16
228,73.87,1495.09,631.03,2006-08-17
229,73.87,1495.09,631.03,2006-08-18
230,73.87,1495.09,631.03,2006-08-19
231,73.87,1495.09,631.03,2006-08-20
232,73.87,1495.09,631.03,2006-08-21
233,73.87,1495.09,631.03,2006-08-22
234,73.87,1495.09,631.03,2006-08-23
235,73.87,1495.09,631.03,2006-08-24
236,73.87,1495.09,631.03,2006-08-25
237,73.87,1495.09,631.03,2006-08-26
238,73.87,1495.09,631.03,2006-08-27
239,73.87,1495.09,631.03,2006-08-28
240,73.87,1495.09,631.03,2006-08-29
241,73.87,1495.09,631.03,2006-08-30
242,73.87,1495.09,631.03,2006-08-31
243,63.49,1488.25,600.49,2006-09-01
244,63.49,1488.25,600.49,2006-09-02
245,63.49,1488.25,600.49,2006-09-03
246,63.49,1488.25,600.49,2006-09-04
247,63.49,1488.25,600.49,2006-09-05
248,63.49,1488.25,600.49,2006-09-06
249,63.49,1488.25,600.49,2006-09-07
250,63.49,1488.25,600.49,2006-09-08
251,63.49,1488.25,600.49,2006-09-09
252,63.49,1488.25,600.49,2006-09-10
253,63.49,1488.25,600.49,2006-09-11
254,63.49,1488.25,600.49,2006-09-12
255,63.49,1488.25,600.49,2006-09-13
256,63.49,1488.25,600.49,2006-09-14
257,63.49,1488.25,600.49,2006-09-15
258,63.49,1488.25,600.49,2006-09-16
259,63.49,1488.25,600.49,2006-09-17
260,63.49,1488.25,600.49,2006-09-18
261,63.49,1488.25,600.49,2006-09-19
262,63.49,1488.25,600.49,2006-09-20
263,63.49,1488.25,600.49,2006-09-21
264,63.49,1488.25,600.49,2006-09-22
265,63.49,1488.25,600.49,2006-09-23
266,63.49,1488.25,600.49,2006-09-24
267,63.49,1488.25,600.49,2006-09-25
268,63.49,1488.25,600.49,2006-09-26
269,63.49,1488.25,600.49,2006-09-27
270,63.49,1488.25,600.49,2006-09-28
271,63.49,1488.25,600.49,2006-09-29
272,63.49,1488.25,600.49,2006-09-30
273,60.13,1449.26,587.17,2006-10-01
274,60.13,1449.26,587.17,2006-10-02
275,60.13,1449.26,587.17,2006-10-03
276,60.13,1449.26,587.17,2006-10-04
277,60.13,1449.26,587.17,2006-10-05
278,60.13,1449.26,587.17,2006-10-06
279,60.13,1449.26,587.17,2006-10-07
280,60.13,1449.26,587.17,2006-10-08
281,60.13,1449.26,587.17,2006-10-09
282,60.13,1449.26,587.17,2006-10-10
283,60.13,1449.26,587.17,2006-10-11
284,60.13,1449.26,587.17,2006-10-12
285,60.13,1449.26,587.17,2006-10-13
286,60.13,1449.26,587.17,2006-10-14
287,60.13,1449.26,587.17,2006-10-15
288,60.13,1449.26,587.17,2006-10-16
289,60.13,1449.26,587.17,2006-10-17
290,60.13,1449.26,587.17,2006-10-18
291,60.13,1449.26,587.17,2006-10-19
292,60.13,1449.26,587.17,2006-10-20
293,60.13,1449.26,587.17,2006-10-21
294,60.13,1449.26,587.17,2006-10-22
295,60.13,1449.26,587.17,2006-10-23
296,60.13,1449.26,587.17,2006-10-24
297,60.13,1449.26,587.17,2006-10-25
298,60.13,1449.26,587.17,2006-10-26
299,60.13,1449.26,587.17,2006-10-27
300,60.13,1449.26,587.17,2006-10-28
301,60.13,1449.26,587.17,2006-10-29
302,60.13,1449.26,587.17,2006-10-30
303,60.13,1449.26,587.17,2006-10-31
304,60.0,1498.53,629.06,2006-11-01
305,60.0,1498.53,629.06,2006-11-02
306,60.0,1498.53,629.06,2006-11-03
307,60.0,1498.53,629.06,2006-11-04
308,60.0,1498.53,629.06,2006-11-05
309,60.0,1498.53,629.06,2006-11-06
310,60.0,1498.53,629.06,2006-11-07
311,60.0,1498.53,629.06,2006-11-08
312,60.0,1498.53,629.06,2006-11-09
313,60.0,1498.53,629.06,2006-11-10
314,60.0,1498.53,629.06,2006-11-11
315,60.0,1498.53,629.06,2006-11-12
316,60.0,1498.53,629.06,2006-11-13
317,60.0,1498.53,629.06,2006-11-14
318,60.0,1498.53,629.06,2006-11-15
319,60.0,1498.53,629.06,2006-11-16
320,60.0,1498.53,629.06,2006-11-17
321,60.0,1498.53,629.06,2006-11-18
322,60.0,1498.53,629.06,2006-11-19
323,60.0,1498.53,629.06,2006-11-20
324,60.0,1498.53,629.06,2006-11-21
325,60.0,1498.53,629.06,2006-11-22
326,60.0,1498.53,629.06,2006-11-23
327,60.0,1498.53,629.06,2006-11-24
328,60.0,1498.53,629.06,2006-11-25
329,60.0,1498.53,629.06,2006-11-26
330,60.0,1498.53,629.06,2006-11-27
331,60.0,1498.53,629.06,2006-11-28
332,60.0,1498.53,629.06,2006-11-29
333,60.0,1498.53,629.06,2006-11-30
334,62.54,1629.26,628.71,2006-12-01
335,62.54,1629.26,628.71,2006-12-02
336,62.54,1629.26,628.71,2006-12-03
337,62.54,1629.26,628.71,2006-12-04
338,62.54,1629.26,628.71,2006-12-05
339,62.54,1629.26,628.71,2006-12-06
340,62.54,1629.26,628.71,2006-12-07
341,62.54,1629.26,628.71,2006-12-08
342,62.54,1629.26,628.71,2006-12-09
343,62.54,1629.26,628.71,2006-12-10
344,62.54,1629.26,628.71,2006-12-11
345,62.54,1629.26,628.71,2006-12-12
346,62.54,1629.26,628.71,2006-12-13
347,62.54,1629.26,628.71,2006-12-14
348,62.54,1629.26,628.71,2006-12-15
349,62.54,1629.26,628.71,2006-12-16
350,62.54,1629.26,628.71,2006-12-17
351,62.54,1629.26,628.71,2006-12-18
352,62.54,1629.26,628.71,2006-12-19
353,62.54,1629.26,628.71,2006-12-20
354,62.54,1629.26,628.71,2006-12-21
355,62.54,1629.26,628.71,2006-12-22
356,62.54,1629.26,628.71,2006-12-23
357,62.54,1629.26,628.71,2006-12-24
358,62.54,1629.26,628.71,2006-12-25
359,62.54,1629.26,628.71,2006-12-26
360,62.54,1629.26,628.71,2006-12-27
361,62.54,1629.26,628.71,2006-12-28
362,62.54,1629.26,628.71,2006-12-29
363,62.54,1629.26,628.71,2006-12-30
364,62.54,1629.26,628.71,2006-12-31
365,54.56,1607.72,630.61,2007-01-01
366,54.56,1607.72,630.61,2007-01-02
367,54.56,1607.72,630.61,2007-01-03
368,54.56,1607.72,630.61,2007-01-04
369,54.56,1607.72,630.61,2007-01-05
370,54.56,1607.72,630.61,2007-01-06
371,54.56,1607.72,630.61,2007-01-07
372,54.56,1607.72,630.61,2007-01-08
373,54.56,1607.72,630.61,2007-01-09
374,54.56,1607.72,630.61,2007-01-10
375,54.56,1607.72,630.61,2007-01-11
376,54.56,1607.72,630.61,2007-01-12
377,54.56,1607.72,630.61,2007-01-13
378,54.56,1607.72,630.61,2007-01-14
379,54.56,1607.72,630.61,2007-01-15
380,54.56,1607.72,630.61,2007-01-16
381,54.56,1607.72,630.61,2007-01-17
382,54.56,1607.72,630.61,2007-01-18
383,54.56,1607.72,630.61,2007-01-19
384,54.56,1607.72,630.61,2007-01-20
385,54.56,1607.72,630.61,2007-01-21
386,54.56,1607.72,630.61,2007-01-22
387,54.56,1607.72,630.61,2007-01-23
388,54.56,1607.72,630.61,2007-01-24
389,54.56,1607.72,630.61,2007-01-25
390,54.56,1607.72,630.61,2007-01-26
391,54.56,1607.72,630.61,2007-01-27
392,54.56,1607.72,630.61,2007-01-28
393,54.56,1607.72,630.61,2007-01-29
394,54.56,1607.72,630.61,2007-01-30
395,54.56,1607.72,630.61,2007-01-31
396,58.96,1711.95,664.42,2007-02-01
397,58.96,1711.95,664.42,2007-02-02
398,58.96,1711.95,664.42,2007-02-03
399,58.96,1711.95,664.42,2007-02-04
400,58.96,1711.95,664.42,2007-02-05
401,58.96,1711.95,664.42,2007-02-06
402,58.96,1711.95,664.42,2007-02-07
403,58.96,1711.95,664.42,2007-02-08
404,58.96,1711.95,664.42,2007-02-09
405,58.96,1711.95,664.42,2007-02-10
406,58.96,1711.95,664.42,2007-02-11
407,58.96,1711.95,664.42,2007-02-12
408,58.96,1711.95,664.42,2007-02-13
409,58.96,1711.95,664.42,2007-02-14
410,58.96,1711.95,664.42,2007-02-15
411,58.96,1711.95,664.42,2007-02-16
412,58.96,1711.95,664.42,2007-02-17
413,58.96,1711.95,664.42,2007-02-18
414,58.96,1711.95,664.42,2007-02-19
415,58.96,1711.95,664.42,2007-02-20
416,58.96,1711.95,664.42,2007-02-21
417,58.96,1711.95,664.42,2007-02-22
418,58.96,1711.95,664.42,2007-02-23
419,58.96,1711.95,664.42,2007-02-24
420,58.96,1711.95,664.42,2007-02-25
421,58.96,1711.95,664.42,2007-02-26
422,58.96,1711.95,664.42,2007-02-27
423,58.96,1711.95,664.42,2007-02-28
424,62.36,1839.68,655.22,2007-03-01
425,62.36,1839.68,655.22,2007-03-02
426,62.36,1839.68,655.22,2007-03-03
427,62.36,1839.68,655.22,2007-03-04
428,62.36,1839.68,655.22,2007-03-05
429,62.36,1839.68,655.22,2007-03-06
430,62.36,1839.68,655.22,2007-03-07
431,62.36,1839.68,655.22,2007-03-08
432,62.36,1839.68,655.22,2007-03-09
433,62.36,1839.68,655.22,2007-03-10
434,62.36,1839.68,655.22,2007-03-11
435,62.36,1839.68,655.22,2007-03-12
436,62.36,1839.68,655.22,2007-03-13
437,62.36,1839.68,655.22,2007-03-14
438,62.36,1839.68,655.22,2007-03-15
439,62.36,1839.68,655.22,2007-03-16
440,62.36,1839.68,655.22,2007-03-17
441,62.36,1839.68,655.22,2007-03-18
442,62.36,1839.68,655.22,2007-03-19
443,62.36,1839.68,655.22,2007-03-20
444,62.36,1839.68,655.22,2007-03-21
445,62.36,1839.68,655.22,2007-03-22
446,62.36,1839.68,655.22,2007-03-23
447,62.36,1839.68,655.22,2007-03-24
448,62.36,1839.68,655.22,2007-03-25
449,62.36,1839.68,655.22,2007-03-26
450,62.36,1839.68,655.22,2007-03-27
451,62.36,1839.68,655.22,2007-03-28
452,62.36,1839.68,655.22,2007-03-29
453,62.36,1839.68,655.22,2007-03-30
454,62.36,1839.68,655.22,2007-03-31
455,67.49,1897.38,678.84,2007-04-01
456,67.49,1897.38,678.84,2007-04-02
457,67.49,1897.38,678.84,2007-04-03
458,67.49,1897.38,678.84,2007-04-04
459,67.49,1897.38,678.84,2007-04-05
460,67.49,1897.38,678.84,2007-04-06
461,67.49,1897.38,678.84,2007-04-07
462,67.49,1897.38,678.84,2007-04-08
463,67.49,1897.38,678.84,2007-04-09
464,67.49,1897.38,678.84,2007-04-10
465,67.49,1897.38,678.84,2007-04-11
466,67.49,1897.38,678.84,2007-04-12
467,67.49,1897.38,678.84,2007-04-13
468,67.49,1897.38,678.84,2007-04-14
469,67.49,1897.38,678.84,2007-04-15
470,67.49,1897.38,678.84,2007-04-16
471,67.49,1897.38,678.84,2007-04-17
472,67.49,1897.38,678.84,2007-04-18
473,67.49,1897.38,678.84,2007-04-19
474,67.49,1897.38,678.84,2007-04-20
475,67.49,1897.38,678.84,2007-04-21
476,67.49,1897.38,678.84,2007-04-22
477,67.49,1897.38,678.84,2007-04-23
478,67.49,1897.38,678.84,2007-04-24
479,67.49,1897.38,678.84,2007-04-25
480,67.49,1897.38,678.84,2007-04-26
481,67.49,1897.38,678.84,2007-04-27
482,67.49,1897.38,678.84,2007-04-28
483,67.49,1897.38,678.84,2007-04-29
484,67.49,1897.38,678.84,2007-04-30
485,67.92,1910.09,667.59,2007-05-01
486,67.92,1910.09,667.59,2007-05-02
487,67.92,1910.09,667.59,2007-05-03
488,67.92,1910.09,667.59,2007-05-04
489,67.92,1910.09,667.59,2007-05-05
490,67.92,1910.09,667.59,2007-05-06
491,67.92,1910.09,667.59,2007-05-07
492,67.92,1910.09,667.59,2007-05-08
493,67.92,1910.09,667.59,2007-05-09
494,67.92,1910.09,667.59,2007-05-10
495,67.92,1910.09,667.59,2007-05-11
496,67.92,1910.09,667.59,2007-05-12
497,67.92,1910.09,667.59,2007-05-13
498,67.92,1910.09,667.59,2007-05-14
499,67.92,1910.09,667.59,2007-05-15
500,67.92,1910.09,667.59,2007-05-16
501,67.92,1910.09,667.59,2007-05-17
502,67.92,1910.09,667.59,2007-05-18
503,67.92,1910.09,667.59,2007-05-19
504,67.92,1910.09,667.59,2007-05-20
505,67.92,1910.09,667.59,2007-05-21
506,67.92,1910.09,667.59,2007-05-22
507,67.92,1910.09,667.59,2007-05-23
508,67.92,1910.09,667.59,2007-05-24
509,67.92,1910.09,667.59,2007-05-25
510,67.92,1910.09,667.59,2007-05-26
511,67.92,1910.09,667.59,2007-05-27
512,67.92,1910.09,667.59,2007-05-28
513,67.92,1910.09,667.59,2007-05-29
514,67.92,1910.09,667.59,2007-05-30
515,67.92,1910.09,667.59,2007-05-31
516,70.55,1927.67,655.42,2007-06-01
517,70.55,1927.67,655.42,2007-06-02
518,70.55,1927.67,655.42,2007-06-03
519,70.55,1927.67,655.42,2007-06-04
520,70.55,1927.67,655.42,2007-06-05
521,70.55,1927.67,655.42,2007-06-06
522,70.55,1927.67,655.42,2007-06-07
523,70.55,1927.67,655.42,2007-06-08
524,70.55,1927.67,655.42,2007-06-09
525,70.55,1927.67,655.42,2007-06-10
526,70.55,1927.67,655.42,2007-06-11
527,70.55,1927.67,655.42,2007-06-12
528,70.55,1927.67,655.42,2007-06-13
529,70.55,1927.67,655.42,2007-06-14
530,70.55,1927.67,655.42,2007-06-15
531,70.55,1927.67,655.42,2007-06-16
532,70.55,1927.67,655.42,2007-06-17
533,70.55,1927.67,655.42,2007-06-18
534,70.55,1927.67,655.42,2007-06-19
535,70.55,1927.67,655.42,2007-06-20
536,70.55,1927.67,655.42,2007-06-21
537,70.55,1927.67,655.42,2007-06-22
538,70.55,1927.67,655.42,2007-06-23
539,70.55,1927.67,655.42,2007-06-24
540,70.55,1927.67,655.42,2007-06-25
541,70.55,1927.67,655.42,2007-06-26
542,70.55,1927.67,655.42,2007-06-27
543,70.55,1927.67,655.42,2007-06-28
544,70.55,1927.67,655.42,2007-06-29
545,70.55,1927.67,655.42,2007-06-30
546,75.84,2051.64,665.66,2007-07-01
547,75.84,2051.64,665.66,2007-07-02
548,75.84,2051.64,665.66,2007-07-03
549,75.84,2051.64,665.66,2007-07-04
550,75.84,2051.64,665.66,2007-07-05
551,75.84,2051.64,665.66,2007-07-06
552,75.84,2051.64,665.66,2007-07-07
553,75.84,2051.64,665.66,2007-07-08
554,75.84,2051.64,665.66,2007-07-09
555,75.84,2051.64,665.66,2007-07-10
556,75.84,2051.64,665.66,2007-07-11
557,75.84,2051.64,665.66,2007-07-12
558,75.84,2051.64,665.66,2007-07-13
559,75.84,2051.64,665.66,2007-07-14
560,75.84,2051.64,665.66,2007-07-15
561,75.84,2051.64,665.66,2007-07-16
562,75.84,2051.64,665.66,2007-07-17
563,75.84,2051.64,665.66,2007-07-18
564,75.84,2051.64,665.66,2007-07-19
565,75.84,2051.64,665.66,2007-07-20
566,75.84,2051.64,665.66,2007-07-21
567,75.84,2051.64,665.66,2007-07-22
568,75.84,2051.64,665.66,2007-07-23
569,75.84,2051.64,665.66,2007-07-24
570,75.84,2051.64,665.66,2007-07-25
571,75.84,2051.64,665.66,2007-07-26
572,75.84,2051.64,665.66,2007-07-27
573,75.84,2051.64,665.66,2007-07-28
574,75.84,2051.64,665.66,2007-07-29
575,75.84,2051.64,665.66,2007-07-30
576,75.84,2051.64,665.66,2007-07-31
577,71.17,1826.43,665.99,2007-08-01
578,71.17,1826.43,665.99,2007-08-02
579,71.17,1826.43,665.99,2007-08-03
580,71.17,1826.43,665.99,2007-08-04
581,71.17,1826.43,665.99,2007-08-05
582,71.17,1826.43,665.99,2007-08-06
583,71.17,1826.43,665.99,2007-08-07
584,71.17,1826.43,665.99,2007-08-08
585,71.17,1826.43,665.99,2007-08-09
586,71.17,1826.43,665.99,2007-08-10
587,71.17,1826.43,665.99,2007-08-11
588,71.17,1826.43,665.99,2007-08-12
589,71.17,1826.43,665.99,2007-08-13
590,71.17,1826.43,665.99,2007-08-14
591,71.17,1826.43,665.99,2007-08-15
592,71.17,1826.43,665.99,2007-08-16
593,71.17,1826.43,665.99,2007-08-17
594,71.17,1826.43,665.99,2007-08-18
595,71.17,1826.43,665.99,2007-08-19
596,71.17,1826.43,665.99,2007-08-20
597,71.17,1826.43,665.99,2007-08-21
598,71.17,1826.43,665.99,2007-08-22
599,71.17,1826.43,665.99,2007-08-23
600,71.17,1826.43,665.99,2007-08-24
601,71.17,1826.43,665.99,2007-08-25
602,71.17,1826.43,665.99,2007-08-26
603,71.17,1826.43,665.99,2007-08-27
604,71.17,1826.43,665.99,2007-08-28
605,71.17,1826.43,665.99,2007-08-29
606,71.17,1826.43,665.99,2007-08-30
607,71.17,1826.43,665.99,2007-08-31
608,77.0,1895.45,713.55,2007-09-01
609,77.0,1895.45,713.55,2007-09-02
610,77.0,1895.45,713.55,2007-09-03
611,77.0,1895.45,713.55,2007-09-04
612,77.0,1895.45,713.55,2007-09-05
613,77.0,1895.45,713.55,2007-09-06
614,77.0,1895.45,713.55,2007-09-07
615,77.0,1895.45,713.55,2007-09-08
616,77.0,1895.45,713.55,2007-09-09
617,77.0,1895.45,713.55,2007-09-10
618,77.0,1895.45,713.55,2007-09-11
619,77.0,1895.45,713.55,2007-09-12
620,77.0,1895.45,713.55,2007-09-13
621,77.0,1895.45,713.55,2007-09-14
622,77.0,1895.45,713.55,2007-09-15
623,77.0,1895.45,713.55,2007-09-16
624,77.0,1895.45,713.55,2007-09-17
625,77.0,1895.45,713.55,2007-09-18
626,77.0,1895.45,713.55,2007-09-19
627,77.0,1895.45,713.55,2007-09-20
628,77.0,1895.45,713.55,2007-09-21
629,77.0,1895.45,713.55,2007-09-22
630,77.0,1895.45,713.55,2007-09-23
631,77.0,1895.45,713.55,2007-09-24
632,77.0,1895.45,713.55,2007-09-25
